scenario,workload,policy,quantization_scheme,prefetch_enabled,accesses,miss_count,eviction_count,avg_latency_ms,overall_hit_rate,bytes_moved,demand_bytes_moved,prefetch_bytes_moved,prefetch_requests,useful_prefetches,wasted_prefetches,prefetch_usefulness,tier_hit_rate,peak_footprint_bytes
small_fp16_prefetch,chat_continuation,lru,fp16,True,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
small_fp16_prefetch,chat_continuation,windowed_recency,fp16,True,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
small_fp16_prefetch,chat_continuation,heavy_hitter,fp16,True,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
small_fp16_prefetch,chat_continuation,cost_aware,fp16,True,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
small_fp16_prefetch,chat_continuation,predictive,fp16,True,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
small_fp16_prefetch,chat_continuation,regret_aware,fp16,True,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
small_fp16_prefetch,rag_burst,lru,fp16,True,320,212,243,1.425326562499997,0.3375,2098894,2098894,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.3375, ""tier1_gpu_overflow"": 0.403125, ""tier2_host_ram"": 0.04375}","{""tier0_gpu_fast"": 60628, ""tier1_gpu_overflow"": 125272, ""tier2_host_ram"": 138168, ""tier3_nvme_like"": 4728}"
small_fp16_prefetch,rag_burst,windowed_recency,fp16,True,320,198,229,1.4090148437499965,0.38125,1968504,1968504,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.38125, ""tier1_gpu_overflow"": 0.359375, ""tier2_host_ram"": 0.04375}","{""tier0_gpu_fast"": 63998, ""tier1_gpu_overflow"": 125128, ""tier2_host_ram"": 138168, ""tier3_nvme_like"": 4728}"
small_fp16_prefetch,rag_burst,heavy_hitter,fp16,True,320,159,191,1.369141406249997,0.503125,1611732,1611732,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.503125, ""tier1_gpu_overflow"": 0.234375, ""tier2_host_ram"": 0.046875}","{""tier0_gpu_fast"": 60416, ""tier1_gpu_overflow"": 124638, ""tier2_host_ram"": 137602, ""tier3_nvme_like"": 4728}"
small_fp16_prefetch,rag_burst,cost_aware,fp16,True,320,158,190,1.367998749999997,0.50625,1602706,1602706,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.50625, ""tier1_gpu_overflow"": 0.23125, ""tier2_host_ram"": 0.046875}","{""tier0_gpu_fast"": 60416, ""tier1_gpu_overflow"": 124614, ""tier2_host_ram"": 137602, ""tier3_nvme_like"": 4728}"
small_fp16_prefetch,rag_burst,predictive,fp16,True,320,159,202,1.382627343749997,0.503125,1713424,1662692,50732,11,1,10,0.09090909090909091,"{""tier0_gpu_fast"": 0.503125, ""tier1_gpu_overflow"": 0.234375, ""tier2_host_ram"": 0.046875}","{""tier0_gpu_fast"": 60416, ""tier1_gpu_overflow"": 124692, ""tier2_host_ram"": 137734, ""tier3_nvme_like"": 4728}"
small_fp16_prefetch,rag_burst,regret_aware,fp16,True,320,152,184,1.3609970312499966,0.525,1546396,1546396,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.525, ""tier1_gpu_overflow"": 0.2125, ""tier2_host_ram"": 0.046875}","{""tier0_gpu_fast"": 60418, ""tier1_gpu_overflow"": 124556, ""tier2_host_ram"": 137674, ""tier3_nvme_like"": 4728}"
small_fp16_prefetch,periodic_reuse,lru,fp16,True,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
small_fp16_prefetch,periodic_reuse,windowed_recency,fp16,True,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
small_fp16_prefetch,periodic_reuse,heavy_hitter,fp16,True,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
small_fp16_prefetch,periodic_reuse,cost_aware,fp16,True,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
small_fp16_prefetch,periodic_reuse,predictive,fp16,True,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
small_fp16_prefetch,periodic_reuse,regret_aware,fp16,True,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
small_fp16_prefetch,long_tail_mix,lru,fp16,True,400,144,145,0.8259716249999995,0.64,1188046,1188046,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.64, ""tier1_gpu_overflow"": 0.2075, ""tier2_host_ram"": 0.005}","{""tier0_gpu_fast"": 61948, ""tier1_gpu_overflow"": 127616, ""tier2_host_ram"": 57648, ""tier3_nvme_like"": 4224}"
small_fp16_prefetch,long_tail_mix,windowed_recency,fp16,True,400,134,135,0.8173326249999993,0.665,1105822,1105822,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.665, ""tier1_gpu_overflow"": 0.1825, ""tier2_host_ram"": 0.005}","{""tier0_gpu_fast"": 61948, ""tier1_gpu_overflow"": 127616, ""tier2_host_ram"": 57648, ""tier3_nvme_like"": 4224}"
small_fp16_prefetch,long_tail_mix,heavy_hitter,fp16,True,400,83,84,0.773210125,0.7925,685254,685254,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.7925, ""tier1_gpu_overflow"": 0.055, ""tier2_host_ram"": 0.005}","{""tier0_gpu_fast"": 61848, ""tier1_gpu_overflow"": 127466, ""tier2_host_ram"": 57700, ""tier3_nvme_like"": 4224}"
