scenario,workload,policy,quantization_scheme,prefetch_enabled,accesses,miss_count,eviction_count,avg_latency_ms,overall_hit_rate,bytes_moved,demand_bytes_moved,prefetch_bytes_moved,prefetch_requests,useful_prefetches,wasted_prefetches,prefetch_usefulness,tier_hit_rate,peak_footprint_bytes
medium,chat_continuation,lru,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,cost_aware,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w1.0_h12,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w1.0_h24,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w1.0_h96,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w6.0_h12,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w6.0_h24,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w6.0_h96,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w12.0_h12,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w12.0_h24,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,chat_continuation,regret_aware_w12.0_h96,fp16,False,256,17,2,0.32308964843750043,0.93359375,77460,77460,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.93359375}","{""tier0_gpu_fast"": 61464, ""tier1_gpu_overflow"": 7998, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4220}"
medium,periodic_reuse,lru,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,cost_aware,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w1.0_h12,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w1.0_h24,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w1.0_h96,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w6.0_h12,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w6.0_h24,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w6.0_h96,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w12.0_h12,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
medium,periodic_reuse,regret_aware_w12.0_h24,fp16,False,320,9,0,0.14788437500000304,0.971875,36846,36846,0,0,0,0,0.0,"{""tier0_gpu_fast"": 0.971875}","{""tier0_gpu_fast"": 36846, ""tier1_gpu_overflow"": 0, ""tier2_host_ram"": 0, ""tier3_nvme_like"": 4188}"
